start	end	text
211920	212920	wat ek nie weet,
212920	213920	ek weet allemaal gebruik,
213920	214920	al is jy een,
214920	215920	gesookte,
215920	216920	met die billig verdinker,
216920	217920	maar in alle geval,
217920	218920	toe kry ek,
218920	219920	Pakistanis,
219920	220920	en,
220920	221920	hy is baie billig,
221920	222920	met sy poste van die app,
222920	224920	lokaal in Zuid-Afrika,
224920	225920	die kost enig iets,
225920	227920	tussen 100,000 en 200,000 aang,
227920	228920	vir die basis app,
228920	229920	wat ek nou soek,
229920	230920	nou,
230920	231920	kom ons sê,
231920	232920	is die oomlik op 2,000 dollar,
232920	233920	wat ek sê,
233920	234920	22,000,
234920	235920	kom ons sê,
235920	236920	tussen 48,000 en 50,000,
236920	237920	as hy alles,
237920	238920	alles moet doen,
238920	239920	maar,
239920	240920	toe ek nou nog na jou luister,
240920	242920	en ek voel nog altyd,
242920	244920	as ek die rechte,
244920	245920	eh,
245920	246920	span gaan kry,
246920	247920	kom ons nie met,
247920	248920	eitjins,
248920	249920	die rechte eitjins,
249920	250920	as jy nou sê,
250920	251920	business analyst,
251920	252920	en die een wat dit doet,
252920	253920	en die een wat dit doet,
253920	255920	as ek swiss kan kry,
255920	256920	dan gaan ek jy nie,
256920	258920	amper jiltemaal self kan doen,
258920	259920	en dan gaan ek so,
259920	260920	een developer,
260920	261920	die ook net gebruik,
261920	262920	om vir my,
262920	263920	eh,
263920	264920	te verifiëer,
264920	265920	en te,
265920	266920	te kyk,
266920	267920	dat alles in die achtergrond recht is,
267920	268920	dat die,
268920	270920	die pipe in recht ingesit is,
270920	271920	die plafysel,
271920	273920	die elektriciteit,
273920	274920	en al daar goed,
274920	275920	mooi in plek is,
275920	276920	goed wat ek nie weet nie,
276920	277920	want,
277920	278920	ehm,
278920	280920	wat die mense daar buiten nie weet nie is,
280920	281920	dat is goed wat hulle nie eerst weet,
281920	282920	dat hulle nie eerst weet nie,
282920	283920	nou ek weet gelukkig,
283920	285920	dat is goed wat ek nie eerst van weet nie,
285920	286920	en ek snap het,
286920	287920	dit is,
287920	288920	nie,
288920	289920	nie,
289920	290920	heel even,
290920	291920	ek herteen ek,
291920	292920	ehm,
292920	293920	ook,
293920	294920	ek was net soos jy,
294920	295920	ook begin met chat,
295920	296920	op gegeven moment,
296920	297920	ontdek ek,
297920	298920	nou die chat,
298920	299920	dit is net grafis,
299920	300920	as jy grafisch chat gebruik,
300920	301920	loop jy uit credits,
301920	302920	dus ek breng,
302920	304920	ChatCPT Pro,
304920	306920	so ek een ongelimiteer chatintervise gebruik,
306920	307920	ehm,
307920	308920	ek had eerst,
308920	309920	soort van,
309920	310920	gevibecode,
310920	311920	met,
311920	312920	met die chatintervise,
312920	313920	en dan probeer plakke,
313920	314920	na tek,
314920	315920	na tekstbestanden,
315920	316920	maar dit,
316920	317920	dit neem,
317920	318920	neem helse lang,
318920	319920	en,
319920	320920	toen had ek die,
320920	321920	en ek het ook ontdek,
321920	322920	dat hy,
322920	323920	maak foute,
323920	324920	hy gaan,
324920	325920	hy gaan dingen vergeet,
325920	326920	hy gaan,
326920	327920	spekschatten vergeet,
327920	328920	of hy,
328920	329920	ehm,
329920	331920	hy laat gewoon,
331920	333920	belangrijke deel van die code uit,
333920	334920	of hy krij,
334920	335920	ineens krijg je foutmeldingen,
335920	336920	wat iets wat net had gewerkt,
336920	338920	dus toen had ek ontdek,
338920	339920	ehm,
339920	340920	toen begon ek het meer,
340920	341920	toen begon ek meer,
341920	342920	met die context-historie,
342920	343920	die,
343920	344920	al zijn responses,
344920	346920	ik probeer hem plakke,
346920	347920	na,
347920	348920	na tekstbestanden,
348920	349920	en laat ek dit weer lees,
349920	350920	is,
350920	351920	dus ik had hem,
351920	352920	sy eigen werk,
352920	353920	laat review,
353920	354920	en,
354920	355920	in het volgende proces,
355920	356920	laat ek hem dit automatisch doen,
356920	357920	eh,
357920	359920	nog steeds in die chat-interviews,
359920	360920	ehm,
360920	361920	en,
361920	362920	toen word my code,
362920	363920	word toen,
363920	364920	in een keer,
364920	365920	veel beter,
365920	366920	ehm,
366920	367920	en toen was ek ook begon,
367920	368920	met,
368920	369920	met,
369920	370920	met een,
370920	371920	met een proces,
371920	373920	een zogenaamde governance proces,
373920	374920	van,
374920	375920	van business case,
375920	376920	naar,
376920	377920	functioneel werk,
377920	378920	naar review,
378920	379920	van dit,
379920	380920	en dit,
380920	381920	was allemaal,
381920	382920	nog een nieuwe leader,
382920	383920	interview,
383920	384920	met chat-tips,
386920	387920	hallo,
387920	388920	interdrie,
388920	389920	en dit,
389920	390920	en dit,
390920	391920	en dit,
391920	392920	en dit,
392920	393920	en dit,
393920	394920	in dit,
394920	397920	eigenlijkHayst voor mij,
397920	398920	pha,
398920	399920	dat wą,
399920	400920	быть,
400920	401920	op,
401920	402920	een niens,
402920	403920	dag,
403920	405460	op,
405600	407920	aan,
407920	409920	pond,
409920	410920	ga Tig,
410920	411920	lag,
411920	412920	met,
412920	413920	zij,
415920	416680	van,
416920	417920	tu,
417920	418920	kroch,
418920	419920	hou,
419920	421920	ik,
421920	423920	..
423920	428960	Hei, Krasbeth.
429760	432760	Kies met jou, my Wi-Fi is al die stil te trek.
433000	433720	Ja, gaan probleem.
434820	444140	Nou, ek wil net net laas nog, ek herken dit, dus het is burig dat jy een soort van een team bouw en dat jy dit,
444660	449140	die probleem is dat ek wat ek aflug een week had ontdekt met de chat, dat duur lang,
449140	460180	To ontdek ek met OpenFlow, wat jy gewoon als met normale instructies, alleen maar met prompts kan jy informatie schrijf,
460280	469240	maar dan, hy gebruik veel credits en waar die kwaliteit en die automatisering is veel verder vooruit gegaan
469240	480100	en dan kan jy echt soort van virtual agents maak wat jou, wat die code gaan review, wat jou gaan uitbewijs van dit is niet fout
480100	487400	en denk als jy dan een goeie, als jy op gegeven moment jou prompts had verfijnd, dan zou jy wat jy wil doen,
487520	494300	so een taxiderme app of code genereer wat iemand niet gaat veld maak, wat hij die formulus niet gaat fouten maak,
494300	504300	of dat hij niet iets gaat vergeet, of dat hij niet iets gaat vergeet, of dat hij dit kan doen en dat hij dit kan doen en dat hij die code genereer en alles.
504300	510000	Ja, so dit wat jy nou nou al verdelik is wat jy gedoen is,
510000	519680	as jy, als jy, die dit, die klaar PRD document opgestel en alles,
520480	526060	as dit, die doodstel voor moet voer, gaan dit bitterlijk makkelijk kan, kan die neem ek aan.
526060	539880	Ja, op dit moment, op dit moment doen hij alles, waar ik mij,
540820	542360	hij begin,
543480	547260	ok, laat, ik begin aan de hand van een project,
547360	550220	ik wil een synthesizer maak, die fysieke ding wat jy zag,
550220	551720	en, ehm,
551720	552400	zodat hij,
553140	555040	en, en, ik begin met user stories,
555660	557420	vertel, gewoon vertel wat ek doen,
557420	559480	sowieso net zoals ons nu aan de praat vertel,
559560	560740	jy vertel oor die taxiderme,
561120	563280	jy, jy, jy, jy, jy het een interview, jy, jy vertel wat jy doen,
563360	564120	wie is het proces,
564680	565220	dan na, oor,
565380	567720	gaan, ek, geef jy die dit databronne wat hij moet doen,
568240	569820	en, ehm,
570940	572500	maar ek het al eigenlijk al geweet wat ek,
572600	573840	wat helemaal in einde wil,
574360	575840	en, toe kon ek het ook test,
576360	576900	dus ja,
576900	598520	Ja, ek denk dat dit proces wel helemaal kan en volledig geautomatiseerd is en dat jy gewoon met hem kan praat zoals nu praat en dat hij toch moet dat hij veel functieel ontwerp, business case gaan bijstelen, roadmap, die backlog, dat hij code gaan genereren wat je kan testen, uitvoeren en al dat soort van mening.
598520	611380	Dus ja, ek wil, ek is daarmee bezig. En, want ook die voordeel is, wat my voordeel is, ek weet van programmering, dus ek heb ervaring, dus ek kan ook op dit gebied, kan ek dit self-check.
615380	625640	Ok, want, my probleem is, ek het, ek het dittie van, het groep, dit is al sê, spierst en, wat, ek het nou,
628520	638200	Wacht even, laatste, laatste 10 seconde, verbinding is verbree, was, was slecht geweest, kan je niet weer aan het halen?
638200	640820	Ja, hou nie, hou nie, hou nie, hou nie, hou nie, hou nie, hou nie, hou nie, hou nie, hou nie.
658520	672760	Hallo, hi, hi, Kasper, ja, kies, Mathieu, sorry, ek heb net veel gebis, al nou, als u maal Zuid-Afrika zijn.
672760	681800	Ok, kom, ek begin net voor, so, ek sit in een situasie, waar, as jy, as, as ek nou na je plan toe gaan over financiering,
682180	689260	dan voel ek, ek weet omtrend alles, nie, dit, ek kan dit uit my komp uit, ek gaan veel financiering, kan kry veel bezigheid,
689620	696940	want dit wat ek gedoen het al vir a paar jaar, maar nou moet, moet die apps krys, ja, kan het doen,
696940	703340	maar, ek, ek, ek voel ons die een paar keer, want ek wees nie, wat gaan verkeerd gaan, of wat ek nie wees nie,
703980	710260	en, eh, ek voel, ek het mensen nodig om te gebruik, wat, my die goed kan double check,
710360	715240	en daarvoor, nou voel ek, nobody's lens, eh, wat gaan ek om nou eindelijk spaar,
715320	720800	want, nou is ek in die middel van die prentie, ja, ek het die architect, en die business analyst,
721640	726800	maar, klein bezigheer, en onthoor, of juist, hulle vol apps heen, maar het nie, hulle arm,
726800	733280	en, eh, ja, so langs door die koord, het, hoe je het voel op die imposter syndroom, het aan die begin,
733360	737780	want jy het nog nie jou eerste app gebouw nie, en as ek nou na die klient toe gaan gaan,
738120	741960	dan gaan ek je weet om om te prijs nie, want ek op ons sê, ek gaan hierdie ontwikkelaar gebruik,
741980	745160	en gaan ek bestemake, maar jy gebruik nou die ou, hoeveel betaal jy om,
745520	751120	en ek is een deursichtige mens, dan gaan ek later opeindig, en sê kan nie eens geld vragen wat ek,
751120	755160	hoe nie, so, ek het, ek het gedink, as ek kon,
755880	759380	een werkbare prototype al gebouw het, en na die klient toe gaan,
759460	761220	en sê, luister, ek het rees hierdie vrouw,
761620	762560	dan gaan ek baie meer,
763260	766500	eh, gaan ek, gaan ek baie meer geloofwaardigheid vir die klient heen,
766560	769100	want ek gaan omklaar iets zien wat werk, en ek kan my sê, maar,
769200	770380	kan hier nie dit in dit verander,
770940	772380	en dan kan ek basis,
772900	775360	eh, om selke raad, het gaan so veel kost,
775700	777780	en hulle kan my hiervoor app te postie dan gee,
777780	779320	en dan kan ek ontwikkelaar betaal,
779780	781680	om die rees van die goeders te doen,
782360	784480	eh, nou, dis, dis maar hoe ek gedink het,
784540	785380	want op die stadium,
785900	788320	gaan die ontwikkelaar vir my alles ga uitkoud,
788420	789120	en alles doen,
789520	791120	ek het vir my PRD gegeer,
791260	791660	vir my,
792420	794180	wat is die architect gegeer,
795020	796300	en, dan gaan hy alles doen,
796560	798040	en ek kan saam met hom mee werk,
798120	798740	en sovoort,
799160	800740	maar ek weet het gaan nog steeds,
801220	802200	is as ek en hy,
803120	804100	saam die goed moet doen,
804100	805100	gaan die klient nog steeds,
805100	807540	tussen 50 en 60 duizend band op betaal,
807780	808620	en,
809100	810640	jy weet wat vir iemand in Amerika,
810800	812580	of Nederland nie baie geld is nie,
812640	814020	maar, vir Suid-Afrikaanse,
814460	815120	een boer,
815500	817160	wat een taxidermie teesuit het,
817240	818080	dit gaan vir hom,
818620	819140	voel ek,
819240	820260	julle mol te veel ges,
820700	821440	ok, nou, ek,
821440	822620	ek kan, ek kan een uitdaging,
822800	823060	ek gaan,
823160	824880	ek gewoon iets probeer,
824980	825880	is, als ek met my,
826160	826460	eh,
827280	827920	as jy jou,
829420	830360	als jy het bijvoorbeeld,
830420	831200	die verhaal beskrijf,
831240	832940	van wat die taxidermie moet gaan doen,
832940	834420	wat is een bedrijfsproces,
834520	835760	wat is inputs, outputs,
835760	837080	foto's,
837140	837980	dat hy moet upload,
838340	838940	so duidelik,
839000	839720	als moeilijk,
840580	841160	dan kan ek,
841260	842000	het is dit weet,
842440	843200	dan kan ek dit,
843760	844240	eh,
845620	845920	in,
846140	847580	in my proces ingooi,
848420	848900	en,
849480	849760	kyk,
849960	850480	of hy in,
850620	851400	een keer,
852360	853060	dit kopieer,
853360	853700	plak,
854060	854300	druk,
854420	854800	enter,
856040	856740	of hy daarna,
856800	857260	10 minuut,
857320	857460	in,
857600	858120	in,
858120	858640	MVP,
858640	859860	in website,
860280	861120	voorbeeld website,
861220	861880	daar uitspoeg,
861880	864040	wat is,
864140	864320	jy sê,
864400	865280	ek wil het bijwaardeer,
865840	866260	dit is,
866340	866540	maar,
866720	867580	ek het al uit haar gedoe,
867880	869180	ek het haar PRB geskryf,
869240	869980	ek het een routnet,
871180	872260	ek het een mindmap,
873720	873960	en,
874620	874900	ek het,
874900	875840	ek het volledig op,
876160	876420	nou,
876480	876760	groebeer,
876820	877180	het Bits,
877260	877580	Gtt,
877900	878800	alles gedoen,
879120	880380	so ek het hele dreed,
880380	881320	ok,
881780	881980	goed,
882080	882360	wat ek,
882640	882820	wat,
882920	883060	ok,
883160	883520	eerstens,
883600	884000	dit is dit,
884120	885680	ek kan jy niks beloof,
885760	886340	van hoe dit gaan,
886420	886840	dit is gewoon,
886980	887220	dit is,
887220	887240	dit is,
887240	888280	dit is eerste keer,
888340	889260	wat ek nu dit gaan doen,
889920	890320	wat ik,
890800	891160	eh,
891220	892340	want dit is iets wat ik,
892560	893640	dit, wat jy nu beschrijf,
893740	894040	dit is,
894240	895520	en dit met iemand interview,
895660	896700	en dit proces,
897020	897380	omdoen,
897460	898320	en een website bouw,
898420	898560	en,
898920	899700	iteratief werk,
899800	900240	en dit al met,
900240	901420	white coding,
902040	902320	dus,
902620	903000	eh,
905000	906280	dus wat jy eigenlijk met iemand,
906380	907480	met alle mensen wil doen,
907660	908940	dit doe ek nu eerst met jou,
909260	910120	en dan gaan jy dit,
910120	912040	met jou taxi daarmee gebeur het,
912120	912740	en dit is,
912740	913860	dit is so'n soort van die,
913980	915400	van die gebeurkinges,
915500	915840	en so,
916360	916780	wat ek gaan,
916940	917280	wat ek,
917460	917740	eh,
917960	918600	wat eerstens,
918660	919560	want ek wil graag,
919600	920320	ek wil graag,
920400	921780	en daar gaan ook mensen wees,
922340	922660	wat,
922660	922840	eh,
923040	923400	ik zie,
923460	924280	wat sikker dienste,
924580	925580	dit baie bezig het,
925580	925900	dit soek,
925900	926580	soek sa eie,
927080	927800	applicatie,
927900	929200	maar jy kan nie daarvoor betaal nie,
929220	929820	en ek wil graag,
929880	930380	die mark,
930980	931560	my lekke,
931640	933000	want jy loont een probleem op,
933360	934460	jy nie kan dit vinnig oplost,
935000	936500	as jy die rechte proces te gebruik,
936540	937140	en ek wil graag,
937140	938760	die mark betregen,
938920	940020	ek wil dit baie geniet,
940720	940920	eh,
941240	941740	ek het my,
941880	942040	eh,
942760	943900	net nog geen weet het gegeen,
943960	944500	ek het my,
944900	945640	point of sale,
945720	946940	het of hy ditelijk gebruik,
947360	948300	het ek achtergekom,
948380	949200	ek kan toegang krijg,
949240	950160	voor die databasis,
950720	951020	oh ja,
951280	951920	en toe,
952100	952460	eh,
953380	953960	toe die word,
954020	954420	ingeneer,
954500	955260	dat ik point of sale,
955320	956440	dat hij remotely kan werk,
957120	957940	skryg my eie ding,
958000	958740	met anti-gravity,
958940	959820	ek sê die agente,
960340	961780	ek koppel my die databasis,
962120	963100	via MCP,
964040	965700	aan SQL Server databasis,
966020	966880	on-on-on-on-on-trent,
967140	970160	en ek doen transaksies op die huidige point of sale,
970720	971660	en ek sê vir die agente,
971760	972500	kyk wat ek doen,
972680	974260	kyk wat gebeur in die databasis,
974620	975500	en dan vandaar af,
975580	976700	skryg jy my die brand en,
977020	977640	en die bank,
977760	978340	wow,
978520	980380	ek het binnen drie daa,
980480	980800	eerst,
980920	981800	ek het ding geskrypt,
982360	982540	en,
982600	983380	maar ek,
983440	984140	ek het,
984140	984160	ek het,
984160	985160	soos gewee,
985840	986280	het ek,
986800	988260	shiny object syndrome,
988920	990140	of eekkoorinkie syndrome,
990600	991140	eh,
991480	992180	as ek iets anders,
992240	993960	ek lost vinnig het in die middel,
994080	994200	en,
994600	994780	ja,
994860	995280	iets anders,
995280	996400	getraak my aandacht,
996600	997000	of ek,
997000	997020	ek,
997020	998140	ek voel,
998200	999300	ek het klaar die ding bereik,
999400	1000520	en ek het klaar my toe van mien,
1000980	1002000	tussie vir die dag het rin,
1002060	1003520	en dan gaan ek iets anders betoet,
1004340	1004660	maar,
1004840	1005580	maar ja,
1005920	1006360	so,
1006740	1008540	het jy al met anti-gravity gebeur?
1008540	1009220	eh,
1009220	1009540	nee,
1009680	1009960	ek het,
1010080	1010320	ek,
1010460	1011020	nog nie,
1011220	1011440	maar,
1011720	1011940	wat,
1012160	1013340	ek weet het is een browser,
1013540	1014220	of het is een,
1015640	1016660	iets met van Google,
1016780	1016900	ja?
1017000	1017120	Ja,
1017220	1018040	die anti-gravity,
1018240	1018420	ja,
1018500	1019160	anti-gravity,
1019340	1021120	ek weet nie wat noem je alles nie,
1021180	1021340	maar,
1021480	1022500	dis nou een incentive,
1022580	1022760	en,
1022920	1024660	jy download hem op jou rekenaar,
1025040	1025740	en dan,
1025860	1026080	eh,
1026260	1027620	hy is lokaal gestoor,
1028180	1028420	hy,
1028520	1030740	hy kan volle beheerkryf van jou rekenaar,
1030960	1032340	hy kan die folder skip,
1032820	1033020	hy,
1033080	1034640	hy skryf basis die code,
1035140	1036260	op jou rekenaar,
1036260	1037800	en ook met proms,
1037880	1039440	en binnen in anti-gravity,
1039700	1040580	such as DCT,
1040720	1041300	dat flow,
1041500	1042240	dat gemene,
1042480	1042720	alles,
1042800	1043720	ek in model kies,
1044440	1045180	jy kan vorms,
1045240	1046200	die documente,
1047020	1047780	documente,
1048260	1049220	beide aanhouders,
1049300	1050300	die development blog,
1050400	1050600	en hier,
1050660	1051080	ook map,
1051220	1052320	en die hand hand op,
1052400	1053160	en al dat soort dit,
1053640	1054000	en,
1054000	1055760	dit is alles lokaal op jou beestje,
1055880	1056080	en,
1056160	1057460	dan kan hy dit stoot na,
1058080	1058380	na,
1058380	1059360	a get up toe.
1059840	1060040	Ok,
1060140	1060480	dit link,
1060580	1060840	dit,
1060840	1062020	dit link,
1062160	1062480	dit is,
1062480	1063940	dit is eigenlijk selfs als,
1064120	1064840	open pool,
1065400	1065700	is,
1066260	1067420	anti-gravity,
1067760	1068100	maar dan,
1068280	1069100	open pool is,
1069620	1070360	open source,
1071720	1073280	en met die code zelf,
1073500	1073720	van,
1073840	1074620	van open pool,
1075040	1075240	maar,
1075540	1075740	ja,
1075940	1076160	dit is,
1076580	1077160	misschien kan ek,
1077240	1078580	anti-gravity gaan onderzoek,
1078620	1079740	want dit is eigenlijk precies,
1079740	1080240	dit is,
1080240	1080980	met open pool,
1081100	1081400	ek sê,
1081700	1082800	daar is een fireclaw,
1082940	1083140	eh,
1083140	1083820	fireclaw,
1083960	1085540	wat je kan koppel aan anti-gravity,
1085600	1085780	ja,
1085880	1086320	maar dit is,
1086320	1086700	dit is,
1086820	1087320	dit is,
1087900	1088080	eh,
1088080	1088880	ok,
1089000	1089180	met,
1089180	1089340	met,
1089440	1089620	want,
1089620	1091160	ek wist nie dat jy met,
1091680	1092440	anti-gravity,
1092540	1093120	overfereld,
1093200	1094380	naar github kan publish,
1094380	1095620	en,
1095840	1096240	eh,
1097080	1097420	agent,
1097620	1098580	en eigen pront,
1098660	1099040	en so,
1099320	1100300	en weet sê wat kan doen.
1100300	1100600	hy het,
1100600	1101260	hy het een eitje,
1101260	1102360	hy klomp eitjens ook,
1102440	1103040	jy kan eitje,
1103240	1104680	in die 20 eitjens apart,
1104780	1104920	dat,
1104980	1105160	daar,
1105220	1106360	met elkeens eie saak,
1106440	1107120	en ek weet nog nie,
1107120	1108160	lekker hoe werk dit nie,
1108840	1109040	eh,
1109100	1109400	maar,
1109760	1110140	jy kan,
1110220	1111100	met anti-gravity,
1111180	1111760	kan jy aan,
1112240	1113100	baie goed koppel,
1113180	1114280	nie baie mcp,
1114800	1115040	en,
1115100	1116060	hy het een fireclaw,
1116180	1116600	ek sêker,
1116680	1117220	open flow,
1117300	1118300	dan ook met hom kan werk,
1118780	1119680	wat anti-gravity,
1119760	1120840	of wat ek nie verstaan nie,
1120880	1120980	is,
1120980	1121160	hy,
1121840	1122560	hy gaan doen,
1122660	1123520	en toets nie die goed,
1123740	1124160	self nie,
1124200	1125360	of misschien weet ek nog nie,
1125360	1125920	van dit lied,
1126300	1126540	maar,
1126700	1128120	hy het ek met alle toets,
1128180	1128620	en dan sê het,
1128660	1128740	o,
1128740	1129320	hy is een koud,
1129480	1129900	en dan,
1130360	1130980	moet ek dit nou,
1131100	1131340	en dan,
1131520	1131720	weet,
1131780	1132600	wat ek nou weer lang,
1132740	1132900	en,
1133480	1134340	soos laat het ek,
1134600	1135580	waarop ek vir die liter,
1136320	1137920	of wil ek kursieve elg gebruik,
1137980	1138540	vir die liter,
1139200	1139460	en,
1139540	1140100	op my een,
1140220	1141360	een module heb,
1141740	1142700	het het iere gevat,
1142800	1143740	om het bedrag te krijg,
1143800	1144880	het ek self gedinkt,
1144920	1145420	het geset maar,
1145420	1147080	het het iets met die fond te doen,
1147720	1147860	en,
1147860	1147900	en,
1147900	1149160	en maak het saam toen raam in,
1149300	1149480	en,
1149480	1151040	en bracht daar die oplossing,
1151560	1151860	die weet,
1151940	1152080	maar,
1152080	1152800	sikker goed vind,
1152920	1153700	iemand die ek,
1153940	1155060	wat iere en iere,
1155580	1156360	waar iemand die jy,
1156420	1157500	die dalk in een paar seconde,
1157560	1157880	sal weet,
1157940	1158700	wat die probleem,
1158780	1158900	of,
1159420	1160520	kom beter instructies,
1160520	1160740	sê,
1161320	1161620	maar,
1161820	1162500	wat ek het,
1162620	1162760	en,
1162760	1163700	het het selfde,
1163780	1164340	het selfde,
1164420	1164640	het selfde,
1164640	1166340	van fouten te ontdek,
1166520	1167340	het ek een soort van,
1167420	1167880	genaamde,
1167980	1168800	testharness,
1169940	1170380	waar hy,
1171200	1173360	as hy fouten ontdek,
1173880	1174800	moet hy die fouten,
1175000	1175820	gaan onderzoek,
1176060	1176680	hy moet een,
1177200	1179080	uitvoerplan,
1179220	1179840	samenstel,
1180620	1180860	en,
1180860	1182200	hy moet my adviseer,
1182680	1183720	wat hy gaan verander,
1184220	1184460	en,
1184520	1185120	hy moet vergelijk,
1185200	1186200	waarom hy dit gaan doen,
1187000	1187380	en,
1187580	1188260	hy moet,
1188320	1189420	ek moet kan rollback,
1189540	1190640	naar die vorige versie,
1191120	1191740	van een fix,
1193020	1193460	dus,
1193580	1194280	om precies,
1194420	1195620	wat jy nie beschrijf,
1196080	1196700	dit te,
1196840	1197420	af te vang,
1198780	1199040	dus,
1199040	1199260	dit,
1199260	1199960	dit bevurreld,
1200000	1200120	iets,
1200180	1200920	als het die times,
1201000	1201760	na die nieuwe raaming,
1202180	1203560	misschien weet ek ek nie direct,
1203960	1204160	maar,
1204220	1204400	hy,
1204720	1205660	moet my begeleid,
1205700	1206160	dan naartoe,
1206240	1206520	dat ek,
1206580	1207040	in plaats van,
1207120	1208120	dat ek een uur om die besers,
1208120	1211220	10 minuten mee bezig,
1211780	1212640	dus om dit op te los,
1212700	1212960	ja,
1213500	1213840	ja,
1214120	1214360	joh,
1214820	1215680	nee, dit blink goed,
1216640	1216840	sê,
1216840	1217500	so siel,
1217640	1218060	ek sal,
1218260	1219780	ek sal baie waardere,
1219880	1220140	sê,
1220480	1221360	uit halkanel,
1221640	1223140	ek is op boemelaar status,
1223260	1223440	en,
1223500	1223520	nou,
1223580	1224000	sê,
1224100	1224360	ek sal,
1224420	1225220	kijk,
1225280	1225800	hoe kan ek,
1225860	1227500	een geldie maak,
1227540	1228040	of een ding,
1228160	1229020	uit die klient uit,
1229620	1230080	want,
1230140	1231320	het ek nou nou om toegang van,
1231380	1231640	en sê,
1231700	1231800	nee,
1231860	1233300	maar ons moet een fiver gebruik,
1233820	1233980	en,
1234060	1234140	nou,
1234220	1234520	moet hy,
1235080	1235480	daaraf,
1235540	1236040	uit en draan,
1236100	1236960	daarin betaal,
1237120	1237300	maar,
1237380	1237500	ek,
1237580	1237960	kom sê,
1238020	1238200	ons,
1238280	1239080	ons het een risiko,
1239200	1239420	dat,
1239980	1240700	die developer,
1240840	1242060	ek ken hem van geen kant af,
1242140	1242220	nie,
1242280	1242440	ja,
